"","log_funds_lost","log_funds_returned","scamNetworks","month_of_attack","day_of_week_of_attack","day_of_year_of_attack","scam_type_grouped"
"465",10.7740484327041,10.7740693683166,"Ethereum","4","4",115,"Exploit"
"466",10.4545814175293,0,"Ethereum","11","6",334,"Exit Scam"
"467",11.409452056494,0,"Ethereum","1","5",29,"Exploit"
"468",10.1385596747156,0,"Ethereum","11","0",328,"Exit Scam"
"469",13.898011779476,0,"Ethereum","7","5",204,"Exploit"
"470",9.46575748384069,0,"Ethereum","11","4",332,"Exit Scam"
"471",10.2035921449865,0,"Binance","8","0",241,"Exit Scam"
"472",17.6783433192016,0,"Binance","11","4",309,"Exploit"
"473",17.0438157463225,17.0438157859471,"Ethereum","4","6",110,"Exploit"
"474",13.3046849341983,0,"Other","11","6",321,"Exploit"
"475",15.6122575687034,0,"CEX","3","6",83,"Exit Scam"
"476",8.88086360986736,0,"Ethereum","2","1",33,"Exit Scam"
"477",13.5722994942749,0,"Binance","9","4",266,"Exit Scam"
"478",13.8521201728579,0,"Binance","5","1",144,"Exit Scam"
"479",16.8504635446715,0,"Binance","7","1",200,"Exit Scam"
"480",16.0562202472402,0,"Binance","5","6",149,"Exit Scam"
"481",9.93716407889551,0,"Ethereum","11","4",325,"Exit Scam"
"482",9.76261499365471,0,"Ethereum","11","3",331,"Exit Scam"
"483",13.9356871711714,0,"Ethereum","11","0",307,"Exploit"
"484",11.8702501977505,0,"Binance","9","0",262,"Exit Scam"
"485",10.5661239778911,0,"Ethereum","1","1",12,"Exit Scam"
"486",13.4588356140255,0,"Ethereum","3","6",79,"Exploit"
"487",11.4657499964778,0,"Polygon","6","6",171,"Exploit"
"488",18.8906843731981,0,"CEX","6","1",162,"Exit Scam"
"489",17.2167079396264,0,"Avax","11","4",330,"Exit Scam"
"490",10.0195357508988,0,"Binance","1","5",30,"Exit Scam"
"491",11.1844213979982,0,"Binance","6","1",158,"Exploit"
"492",10.1793753451052,0,"Ethereum","11","5",333,"Exit Scam"
"493",14.9141228466324,0,"Polkadot","4","0",95,"Exploit"
"494",13.4653713523389,0,"Ethereum","5","2",138,"Exploit"
"495",7.18614430452233,0,"Ethereum","12","5",361,"Exit Scam"
"496",15.0094330264367,0,"Ethereum","11","4",311,"Exploit"
"497",9.64004270444839,0,"Binance","8","4",238,"Exit Scam"
"498",13.7361631918181,0,"Harmony","12","0",340,"Exploit"
"499",10.8780471925343,0,"Binance","8","6",226,"Exit Scam"
"500",9.01456876745782,0,"Ethereum","11","2",316,"Exit Scam"
"501",14.28551418721,0,"Polkadot","8","6",226,"Exploit"
"502",11.0821425488778,0,"Ethereum","8","0",234,"Exit Scam"
"503",22.0041996824085,0,"CEX","6","2",174,"Exit Scam"
"504",12.8278339149951,0,"Binance","11","1",327,"Exploit"
"505",12.5061772379805,0,"Binance","6","4",176,"Exploit"
"506",17.4033245372906,0,"Ethereum","8","1",243,"Exploit"
"507",14.7944751986664,0,"Binance","1","2",12,"Exit Scam"
"508",10.375520371583,0,"Ethereum","11","3",324,"Exit Scam"
"509",14.6590628409979,0,"Binance","3","1",75,"Exit Scam"
"510",13.1324325130811,0,"Ethereum","7","6",192,"Exploit"
"511",7.16162200293919,0,"Ethereum","11","3",310,"Exit Scam"
"512",10.0343403609549,0,"Ethereum","1","6",24,"Exit Scam"
"513",12.5128217806992,0,"Ethereum","9","4",259,"Exploit"
"514",17.9743936413239,0,"CEX","12","2",340,"Exploit"
"515",10.1464337311465,0,"Binance","8","6",219,"Exit Scam"
"516",12.5292063177122,0,"Ethereum","6","5",155,"Exploit"
"517",14.1532477085301,0,"Ethereum","2","0",39,"Exit Scam"
"518",12.487673766416,0,"Polygon","9","3",244,"Exploit"
"519",12.6660259389224,0,"Heco","12","3",364,"Exploit"
"520",13.5278284855125,0,"CEX","12","5",361,"Exit Scam"
"521",15.0893736309958,0,"Solana","7","3",209,"Exploit"
"522",12.3219828173604,0,"Ethereum","3","2",76,"Exit Scam"
"523",13.3244875614945,13.0170050839663,"Ethereum","8","1",221,"Exploit"
"524",12.2336197168595,0,"Ethereum","3","3",76,"Exploit"
"525",10.6454248972655,0,"CEX","7","1",213,"Exploit"
"526",9.80609520652748,0,"Binance","3","6",65,"Exit Scam"
"527",14.1156151504146,0,"Binance","5","4",126,"Exit Scam"
"528",16.6890751975441,0,"Other","1","6",19,"Exploit"
"529",12.4767674987026,0,"Binance","9","2",264,"Exit Scam"
"530",9.73311432925802,0,"Ethereum","12","2",358,"Exit Scam"
"531",12.8246579047632,12.8246605982897,"Ethereum","8","1",217,"Exploit"
"532",13.9108207377686,0,"Binance","6","4",161,"Exploit"
"533",14.2209756660724,0,"Fantom","5","3",125,"Exit Scam"
"534",12.2663772161357,0,"Binance","3","1",75,"Exit Scam"
"535",10.5359554222842,0,"Binance","3","3",63,"Exit Scam"
"536",12.6660259389224,0,"Binance","12","3",364,"Exploit"
"537",10.7363966754712,0,"Binance","8","5",225,"Exit Scam"
"538",9.2620785673806,0,"Binance","3","1",75,"Exit Scam"
