logo src,project_name,project_link,chain_platform,category,issue,funds_lost,date
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/622fdad0d120e.png,Fantasm Finance,https://fantasm.finance/,FANTOM,,Exploit,"$2,622,097 ",09.03.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/620be85414472.jpeg,BNB42,https://bnb42.com/,BSC,,Exit Scam,"$2,602,079 ",14.02.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6255a3792f21f.jpeg,PYE,https://www.pye.net/,BSC,,Exploit,"$2,600,000 ",24.03.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61e70e7c1cf9b.jpeg,Fetch.ai,https://fetch.ai/,ETH,,Access control,"$2,600,000 ",14.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/624dd00d063a5.jpeg,Purse,https://purse.io/,,,Access control,"$2,510,000 ",10.10.2015
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61c0886bdcdb0.jpeg,Zapper,https://zapper.fi/,ETH,,Exploit,"$2,500,000 ",14.06.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60dc6fcc91b21.png,Emerald Mine,http://emd.finance/,EOS,,Exit Scam,"$2,500,000 ",09.09.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/624f030814e57.jpeg,BitPay,https://bitpay.com/,,,Access control,"$2,370,000 ",12.09.2014
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61ba217a88dc2.png,Evolved Apes,https://www.evolvedapes.com/,ETH,,Exit Scam,"$2,339,031 ",06.10.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60d4f7a6cdb3a.jpeg,Turtledex,https://turtledex.io/,BSC,,Exit Scam,"$2,324,610 ",16.03.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61c5f482c7f8e.jpeg,Fairmoon,https://fairmoon.community/,BSC,,Exit Scam,"$2,300,000 ",19.05.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62cf0b1acd013.png,Bifrost,https://thebifrost.io/,ETH,Other,Exploit,"$2,248,328 ",08.07.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60d5b03273a46.png,PopcornSwap,https://popcornswap.com/,BSC,,Exit Scam,"$2,241,690 ",28.01.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60d4e26b3e31a.png,Deriswap (the 1st fake),,ETH,Stablecoin,Exit Scam,"$2,170,264 ",22.11.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62a30571681fe.png,ApolloX,https://www.apollox.com/en,BSC,,Exploit,"$2,150,414 ",08.06.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62a3595a76669.jpeg,Gym Network,https://gymnetwork.io/,BSC,,Exploit,"$2,100,000 ",08.06.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6241c2b9940d5.png,stazie,,ETH,,Access control,"$2,072,967 ",31.07.2021
